Category,Variable Name,Description,Measurable,Data Source,Historical Example (2014-2025),Narrative Power,Measurability,Predictive Power,Combined Score
Telemetry,Safety-car/VSC restart pace delta,Restart lap and lap N+1 lap-time minus median green-lap pace — tests cold-tyre management on demand,Yes,FastF1 TrackStatus flags 4/6/7,USA 2021 Verstappen 1.5s/lap clear post-restart vs Hamilton on 14-lap hards; title-decisive given 2021 razor margin,7,8,7,22
Telemetry,Range of finishing positions (Floor minus Ceiling),Worst classified finish minus best classified finish across season — bluntest consistency-theorem stat,Yes,Ergast/Jolpica results,2016 Rosberg worst classified P4 vs Hamilton worst P7; tighter floor delivered title despite Hamilton more wins/poles,9,10,9,28
Telemetry,Wet-vs-dry pace ratio,Median wet/inter lap-time / pole-equivalent dry pace vs field median,Yes,FastF1 Rainfall + Compound (INTER/WET),Verstappen Brazil 2024 ratio ~0.5 s/lap better than field median; Hamilton Turkey 2020 title-clincher; Spa Sprint 2021,9,8,8,25
Strategy,Pit-stop time stddev (crew consistency),Per-race stddev of team's 4-tyre stops across season — variance reducer; not fastest stop but rarity of slow stops,Yes,DHL Fastest Pit Stop Award per-race tables; Ergast pit_stops; FastF1 PitInTime/PitOutTime,Red Bull 2019-2024 six consecutive DHL Pit Stop titles built on lowest stddev not 1.82s record; Sainz Hungary 2022 12-second wait broke Ferrari's mean,9,9,8,26
Strategy,Strategic error cost (points lost per race aggregated),Counterfactual lost points from clearly suboptimal pit-wall calls; measure asymmetric left tail,Partial,FastF1 lap-time simulation; Sky/RaceFans/The Race counterfactual tallies,Ferrari 2022 Sky tallied 108 pts lost by Leclerc (Imola Monaco -13 Spain DNF Baku DNF Silverstone Hungary -17); McLaren 2024 27 pts lost (Canada SC reaction 14-pt swing),10,6,9,25
Strategy,Compound selection hit rate,Percent of races team picked optimal tyre compound out of available choices at key stops,Partial,FastF1 Stints+Compound; Pirelli notes; F1.com strategy reports,Hungary 2022 Ferrari fitted hards on Leclerc when field abandoned compound — P1 to P6; Leclerc called it a disaster,10,7,8,25
Strategy,Safety-car/VSC reaction-time decision latency,Lag between SC/VSC deployment and pit decision — single highest-leverage strategic moment,Partial,FastF1 race-control messages + lap-by-lap pit timing; OpenF1 race_control,Canada 2024 McLaren slow SC reaction kept Norris out one lap too long — lost lead to Verstappen and Russell (14-pt swing); Abu Dhabi 2021 Mercedes did NOT pit Hamilton under SC,10,7,9,26
Strategy,Undercut/overcut success rate,Percent of attempted strategic offset moves that gained net position vs target rival,Yes,FastF1 lap data — pit lap and rival positions pre/post,Monaco 2022 Red Bull undercut Leclerc successfully; Hungary 2019 Mercedes overcut-then-second-stop on Verstappen,9,8,8,25
Strategy,In-lap/out-lap delta vs target,Gap between target lap times and actual on the laps that bookend a pit stop,Yes,FastF1 LapTime filtered by PitInTime/PitOutTime not-null,Hungary 2019 Hamilton,7,9,7,23
Strategy,Strategy reconsiderations / mid-stop u-turns per race,Count of late changes to pit-call (driver told box then stay out within seconds),Partial,Team radio transcripts (F1 broadcast OpenF1 team_radio); FIA radio archive,Monaco 2022 Leclerc engineer reverse instructions after he committed to pit entry; Mercedes Hungary 2019 indecision lap 26 to 32,8,5,7,20
Strategy,VSC/red-flag free-pit opportunism,Percent of available VSC/red-flag windows team used for cheap tyre change,Yes,FastF1 track_status (4 SC 6 VSC 5 Red); pit timestamps,Saudi 2021 Red Bull free tyre change at lap-13 red flag left Verstappen leading vs Mercedes pre-yellow stop; Brazil 2024 Verstappen lap-7 puncture coincided with VSC,9,9,8,26
Strategy,Wet/mixed-condition tyre crossover timing,Lap-precision of inter-to-slick and slick-to-inter calls in mixed conditions,Partial,FastF1 Compound change timestamps + weather; track-status messages,Hungary 2021 Mercedes left Hamilton on inters as only car for restart — lost win and only Vettel DSQ saved P2; Brazil 2024 Red Bull crossover timing won race from P17,10,7,7,24
Strategy,Tyre-set allocation across weekend,Fresh sets of each compound preserved for race vs spent in qualifying,Yes,FastF1 Stints + Pirelli weekend allocation; F1.com tyre allocation graphics,Hungary 2022 Ferrari spent practice on medium/soft so had no hard data then fitted hards in race; McLaren 2024 Silverstone unused new mediums Brundle flagged,7,7,7,21
Strategy,Unsafe-release/mechanic-incident frequency,Count of unsafe-release penalties + mechanic injuries per season — operational discipline indicator,Yes,FIA stewards archive; RaceFans penalties index,Bahrain 2018 Ferrari released Raikkonen with three wheels broke Cigarini's leg (50k EUR fine); Haas double unsafe release Australia 2018,7,9,5,21
Strategy,Strategist/race-engineer continuity,Tenure of head of race strategy and lead drivers' engineers across consecutive seasons,Yes,Public org charts; press releases,Ferrari fired Inaki Rueda after 2022 replaced with Ravin Jain; Mercedes James Vowles to Williams 2023 ended 13-year continuity; Red Bull Hannah Schmitz tenure correlates with strategic peaks; Hamilton-Bonnington 12 yrs (every Hamilton title); Verstappen-Lambiase since 2016 (every Verstappen title),8,9,7,24
Strategy,Double-stack pit execution quality,Time penalty when both cars pit on same lap; second-car stop time minus team season-mean,Yes,FastF1 pit timestamps cross-referenced by team,Monaco 2022 Ferrari Leclerc-Sainz double-stack 3.5s gap at pit entry vs target 6s cost race lead; Saudi 2021 Mercedes double-stack under yellow was sublime,8,7,6,21
Mechanical,Power unit component pool discipline,Annual per-driver cap (3 ICE/TC/MGU-H 2 MGU-K/ES/CE in 2024-25); each excess element triggers grid penalties — pure floor metric,Yes,FIA pre-race PU usage table; Ergast status; F1.com PU tracker,Hamilton 2016 Belgium back-of-grid + Sepang ICE failure + China ERS + Russia ~40 pts lost in title decided by 5; Leclerc 2022 Spain turbo/MGU-H + Baku ICE forced 4th turbo + Canada 10-place drop transformed 34-pt lead to 34-pt deficit,10,10,10,30
Mechanical,Reliability DNF rate (mechanical-only),Percent of races ended by mechanical retirement excluding driver/contact — captures worst day floor,Yes,Ergast status field (engine gearbox hydraulics electrical fuel transmission suspension); FastF1 race classification,Rosberg 2016 zero mechanical DNFs vs Hamilton's 1 (Malaysia 25 pts) — final margin 5 pts; Verstappen 2022 2 DNFs in first 3 races (Bahrain fuel pressure Australia fuel leak),10,10,9,29
Mechanical,Aerodynamic Testing Restriction (ATR) allocation,Sliding-scale wind tunnel/CFD allocation since 2021; champion 70% baseline last 115% reset every 30 June,Yes,FIA Sporting Regs Appendix 7; The Race ATR breakdowns,Mercedes W13 2022 trap — least tunnel time during 22 design while debugging porpoising (Wolff lost 8-10 months); Red Bull 2024 RB20 correlation issues couldn't be fixed fast enough — lost constructors' to McLaren,9,10,9,28
Mechanical,Cost-cap breach penalties (financial + sporting),Procedural breach = fine; Minor Overspend = additional ATR cut + fine; Material = potential constructors DSQ,Yes,FIA Cost Cap Adjudication Panel decisions; FIA Financial Regs,Red Bull 2021 minor breach (~$2.2m) → $7m fine + 10% extra ATR reduction for 12 months Oct 22-Oct 23 = effective 63% baseline; plausibly contributed to RB20 correlation collapse mid-2024,9,8,7,24
Mechanical,Wind tunnel-to-track correlation quality,Delta between simulated/CFD/tunnel performance and on-track lap time — invisible at season start fatal mid-season,Partial,Team briefings (AMuS The Race Mark Hughes Gary Anderson); upgrade dates vs lap-time delta on FastF1,Mercedes 2022 W13 zero-pod concept produced massive simulated downforce; real-world porpoising never appeared in sim — Allison/Elliott admitted simulator misled; Ferrari SF-23 2023 same; RB20 2024 Wache,9,5,8,22
Mechanical,Upgrade package timing and step size,Points-per-race in N races before vs after a major upgrade,Yes,FIA upgrade documentation (filed every event since 2022); Ergast results; FastF1,McLaren MCL38 Miami 2024 — pre-Miami avg grid 5.2 post-Miami 3.9; pace deficit dropped 0.521% to 0.278%; won Miami then 4 podiums in 4 races — powered constructors' charge that overhauled RB 50+ pt lead,9,9,8,26
Mechanical,Plank/skid wear DSQ risk,Article 3.5.9(e) plank must be ≥9mm; ground-effect cars 2022+ run ultra-low so plank wear is new ceiling-vs-floor trade,Yes,FIA Technical Delegate post-race reports; FIA Stewards' decisions,COTA 2023 Hamilton (P2) and Leclerc (P6) BOTH disqualified — Hamilton on new floor upgrade chasing Verstappen; DSQ erased 18 pts and effectively ended his charge for P2 (Perez gap 19 to 39); sprint-weekend parc fermé bumpy track perfect floor-wear storm,10,9,6,25
Mechanical,Floor damage events (ground-effect 2022+),Single-lap damage from kerbs/debris/contact destroys ground-effect downforce (10-30 pts vanish in one strike),Partial,F1 broadcast (Ted Kravitz); team confirmations; FastF1 sector deltas pre/post incident,Verstappen Miami 2024 hit bollard at T14 lost ~0.25s/lap — Norris caught and passed for the win directly enabling McLaren's title surge; Verstappen Monza 2024 P6 amid handling crisis admitted RB20 became a,8,6,6,20
Mechanical,Porpoising/bouncing severity (ground-effect),Aerodynamic stall oscillation under ground effect; not just performance loss but breaks engines (Wolff 2022,Partial,FIA TD039 (Aerodynamic Oscillation Metric mid-2022); team admissions; FastF1 vertical-G estimation,Mercedes W13 2022 dominant team to zero Hamilton wins 1 Russell win; Wolff,9,5,7,21
Mechanical,Engine-mode/qualifying-mode regulatory inflection,Pre-2020,Partial,FIA Technical Directives (not always public); AMuS reporting; FastF1 sector-1 quali vs race delta,Ferrari 2019 6 consecutive poles before US TDs → zero poles after qualifying advantage evaporated; ended 2019 winless after Singapore — cost realistic championship contention; Hamilton Monza 2020 fastest-ever F1 lap after qualifying-mode ban,10,6,7,23
Mechanical,Gearbox/component pool penalty discipline,Gearbox limit 5 sets per 24-race year (2025) 5-place penalty if exceeded; combined GB+chassis penalty exposure,Yes,FIA pre-race penalty bulletins; Ergast grid-vs-qualifying delta,Hamilton Italy 2018 navigated combined PU/gearbox penalty by qualifying P1 then accepting back-of-grid; pattern of strategic penalty-taking became hallmark of Mercedes 17-19 title runs,7,9,7,23
Mechanical,Reliability variance peak vs worst week,Stddev of finishing-position-vs-grid delta isolated to mechanical causes — single most consistency-aligned variable,Yes,Ergast per-race grid+finish+status; FastF1 pace deltas,Rosberg vs Hamilton 2016 — Rosberg's worst mech race was 5-place gearbox Austria still P4; Hamilton 1 DNF + 3 back-of-grid; variance gap = championship gap; Verstappen 2024 worst finishes P5-P6 still better than Norris worst (DNF Austria + Canada),10,9,10,29
Mechanical,Inter-team power-unit customer effect,Customer teams share PU reliability fate with works teams,Yes,Ergast status filtered by engine supplier; FIA PU usage docs,Ferrari 2022 Haas and Alfa Romeo also hit by 066/7 turbo-shaft failures (systemic Maranello issue); Mercedes customers (Williams Aston pre-2021 McLaren) inherited reliability gold; McLaren MCL38 first customer-engined constructors winner since Brawn 2009,6,9,6,21
Psychological,Stddev of finishing positions (finished races only),Stddev of classified finishing positions across season filtered for non-mechanical races — direct math operationalization of consistency thesis,Yes,Ergast results; FastF1,Vettel 2018 wins at AUS BHR CAN GBR BEL but P6 Japan P5 USA P9 Germany; Hamilton stddev materially lower; Vettel outlier-bad tail lost the title,10,10,9,29
Psychological,Points-per-race range/IQR,Max minus min points scored in finished races (or IQR) — best-vs-worst day gap in points currency,Yes,Ergast,Rosberg 2016 zero finishes outside top 5 in non-DNF races IQR ~7 pts; Hamilton IQR ~11 pts because Baku P5 + Russia P10-grid-then-P2 swings,10,10,9,29
Psychological,Outlier-bad race count (>1 sigma below personal mean),Number of races where points fall more than 1 stddev below driver's own mean — frequency of worst days,Yes,Ergast/FastF1,Vettel 2018 ≥5 such races (Baku France Germany-crash Italy-collision Japan-spin); Hamilton 2018 ~2 — same-quality car very different tails,10,9,9,28
Psychological,Bounce-back rate after DNF/bad weekend,Avg points or finishing position immediately following DNF or sub-P10 result normalized by season avg,Yes,Ergast,Verstappen 2024 Sao Paulo qualifying disaster P17 → race win +25 pts vs Norris P6 — single biggest psych data point of 2024 title,10,9,8,27
Psychological,Head-to-head qualifying vs teammate (lap-time delta + win count),Per-session lap-time gap to teammate in equivalent conditions plus simple H2H tally,Yes,FastF1 Q3 timings; outlier filtering,Rosberg 2016 outqualified Hamilton 8-12 H2H but gap on title-deciding weekends decisive (Baku pole vs Hamilton crash; Russia pole vs Hamilton ERS),9,10,8,27
Psychological,Head-to-head race vs teammate,Equivalent H2H for race finishing positions when both classified,Yes,Ergast,Russell vs Hamilton 2022 — Russell beat Hamilton on points 275-240 finished ahead in 11 of 17 races where both classified — debut Mercedes year,9,10,8,27
Psychological,Performance variance after on-track incident with title rival,Delta in points/finishing pos in 2-3 races following high-profile clash with title rival,Partial,Ergast + FIA stewards docs + race reports,Hamilton vs Verstappen 2021 post-Silverstone — Hamilton scored Hungary (DSQ-promoted P2) Max camp recovered Spa/Zandvoort wins; Vettel post-Baku 2017 visible decline in next races,10,6,6,22
Psychological,Performance at championship-deciding races vs mid-season,Avg points in last 5 rounds vs full-season avg filtered to title-fight years,Yes,Ergast (date subset),Bottas 2019 strong start (Australia win +20s on Hamilton) post-summer collapsed — finished only 3 of last 7 ahead of Hamilton same car; Vettel 2017-18 collapsed September-October,9,8,8,25
Psychological,Q3 vs Q1/Q2 sector-time variance (Q3-buckle metric),Per-driver compare best sector times in Q1/Q2 vs Q3; widening gap when stakes rise = pressure-buckling signature,Yes,FastF1 per-sector lap times,Hamilton Baku 2016 — three Q3 lock-ups → wall while comfortable Q1/Q2; Rosberg 2016 essentially zero Q3 degradation — extraordinary Q3 consistency,9,9,7,25
Psychological,Wet vs dry performance delta,Driver's avg finishing pos in wet/mixed minus dry avg — wet races act as skill tax exposing consistency floor,Yes,FastF1 weather + Ergast,Verstappen Brazil 2024 P17 to P1 +16 swing in wet that broke Norris title; Hamilton Turkey 2020 title-clincher on dead inters,9,8,8,25
Psychological,Performance under media spotlight cycles (post-controversy),Result in 2 races after public controversy/penalty/PR storm — race-result delta vs season mean,Partial,News archives; FIA press conferences; sentiment proxies,Vettel post-Baku 2017 (deliberate Hamilton hit FIA hearing) Austria + Britain poor weekends; Verstappen post-USA/Mexico 2024 bounced back at Sao Paulo,9,5,6,20
Psychological,Performance at home grand prix (myth-busting),Driver's avg finishing pos at home GP minus season avg — frame contrarianly,Yes,Ergast,Hamilton Silverstone 2014-2024 — 7 wins 11 podiums in 11 races (genuine outlier); Vettel Hockenheim 2018 crashed from lead (negative home effect under pressure); Leclerc Monaco points sink until 2024,9,9,5,23
Psychological,Mistake rate under pressure (lock-ups / off-tracks per session),Count of telemetry-detectable mistakes per qualifying/race lap weighted by pressure context,Partial,FastF1 brake-pressure + speed traces; FIA event notes; track-limit deletions,Norris 2024 repeatedly cited self by McLaren/Stella for lap-1 starts and brake-locking (Singapore near-walls Brazil restart); Hamilton Baku 2016 Q3 3 lock-ups → wall,9,7,7,23
Psychological,Performance after FIA penalty/reprimand,Result-delta in race after grid penalty in-race penalty or reprimand — does driver compound errors or reset,Partial,FIA stewards documents; Ergast,Vettel post-Singapore 2017 start crash + Suzuka error compounded into Mexico/USA; Verstappen post-USA 2024 (two penalties) recovered cleanly,8,7,6,21
Psychological,Performance with new race engineer/post-TP change,Race-result delta in N races after personnel change (engineer TP TD),Partial,Team announcements; news archives,Vettel/Ferrari 2018-19 spanning Arrivabene-Binotto switch coincides with mistake cluster (Marko attributes to confidence breakdown beginning Hockenheim 2018),7,5,5,17
Psychological,Driver age/experience curve,Performance metrics indexed by years of F1 experience — does pressure-resilience scale with age,Yes,Ergast (career-stage filtering),Hamilton 2024 (age 39) won Silverstone after 945-day drought (counter-evidence to steep age curve); Vettel 2018 (age 31 4× champion) suggests pressure mistakes not inversely correlated with experience,7,9,5,21
Psychological,Performance in first race after summer break,Delta between Spa/Zandvoort/Monza result and season avg — tests reset capability,Yes,Ergast (calendar-filtered),Bottas 2019 post-break collapse coincided with contract rumour cycle; Norris Zandvoort 2024 post-break win by 22s — McLaren explicitly said they reset over the break,8,9,7,24
Psychological,Leading champ early — pressure trap,Win-rate / points-rate when entering a race as champ leader vs as challenger,Yes,Ergast (rolling championship state),Vettel 2017 led until Singapore 2018 led until Germany — both collapsed once chased; Verstappen 2021-24 leading correlates with HIGHER points-per-race not lower (opposite signature),10,9,8,27
Psychological,Crash damage cost as risk-taking proxy (cost-cap era 2021+),Estimated repair cost of crashes per driver per season as proxy for risk appetite vs control,Partial,Team financial disclosures; news,Perez 2022-23 repeated qualifying crashes (Monaco 2023 most notable) reportedly cost RB millions correlated with championship collapse; Leclerc Imola 2022 crashes while leading title fight,8,4,6,18
Nobody,Aerodynamic Testing Restriction (ATR) sliding scale,Wind tunnel/CFD allocation tied inversely to constructors position; champion 70% last 115% reset every 30 June — structural convergence force,Yes,FIA Sporting Regs Article 16+ Appendix 7,2024 McLaren entered season at 100% allocation (P4 in 2023) vs RB 70% — directly contributed to McLaren overhauling RB by Miami; multi-year drag on dominant team,9,8,9,26
Nobody,Cost-cap breach as ATR multiplier,Cap breach → reduced testing on top of sliding scale; compounds structural handicap,Yes,FIA WMSC rulings; financial regs,Red Bull 2021 minor breach penalty 2022: -10% ATR for 12 months (28→25 wind tunnel runs/wk through Oct 2023); arguably explains RB20 mid-2024 regression vs McLaren/Ferrari,10,7,9,26
Nobody,FIA technical directive timing relative to championship swing,Mid-season TDs that re-define a regulation can wipe out a leader's edge,Partial,FIA TD archive; AMuS; RacingNews365,TD/035-19 + Ferrari settlement (early 2020) Ferrari straight-line speed evaporated — direct cause Vettel/Leclerc losing 2020 contention before season started; TD/039 (2022) on porpoising/floor stiffness; Belgium 2022 flexi-floor TD,10,6,8,24
Nobody,Qualifying-mode ban (TD038-20 Monza 2020),Forced single engine map across qualifying and race; targeted at Mercedes Strat 2,Yes,FIA TD 038-20; FastF1 lap delta,Backfired structurally — Hamilton set fastest-ever F1 lap at Monza qualifying after the ban; Honda/Renault arguably hurt more than Mercedes indirectly aiding Verstappen 2021 due to Honda then optimizing single-mode reliability,9,7,7,23
Nobody,Parc fermé lock-in,Setup frozen from Q1; sprint weekends extend parc fermé to Friday FP1 — wrong weather guess on Saturday morning is locked in,Partial,FIA Sporting Regs Art. 40; weather archives; team radio,2024 Brazil red-flagged qualifying meant sprint-spec setup carried into wet race — Verstappen P17 → won; pre-2025 sprint format made 4 races/year setup-blind for full weekend,10,6,8,24
Nobody,Penalty point accumulation (ticking clock),12 points in rolling 12 months = 1-race ban; introduced 2014 — pure consistency penalty,Yes,FIA stewards docs; tracinginsights.com penalty tracker,Magnussen 2024 Monza hit 12 pts → first-ever ban missed Azerbaijan (Bearman replaced); Verstappen ended 2024 on 11 pts — one incident from a championship-deciding ban while leading title fight; Norris 3 pts at Qatar 2024 for yellow flag,10,10,8,28
Nobody,Sprint format weekend compression,2021 sprint = Saturday race Sunday grid; 2023 stand-alone shootout; 2024 parc fermé reduced; cuts practice from 3 hrs to 1 hr — favors experienced drivers,Yes,FIA regs; FastF1 session metadata,Verstappen sprint pole at Silverstone 2021 (first-ever sprint pole); Bottas sprint-win Brazil 2021 → Hamilton DSQ flipped 2 race weekends; Verstappen 2024 4 of 6 sprint wins ~32 extra pts buffered title,9,9,7,25
Nobody,Sprint points evolution,2021: 3-2-1; 2022-2024: 8-7-6-5-4-3-2-1 — max 48 pts/season available — larger than several recent title gaps,Yes,FIA regs,2016 title gap 5 pts; 2024 trending; sprint scoring change Sept 2024 extended sprint points; 2025 fastest-lap-point removal both move scoring toward consistency reward,8,10,8,26
Nobody,Calendar position of decisive races,2014-2024 avg championship clinched at race ~20/22 — late October to mid Nov; seasons that end Abu Dhabi favor cooling-track specialists,Yes,Wikipedia season pages; calendar archives,2014 Abu Dhabi double points; 2016 Abu Dhabi R21/21; 2021 Abu Dhabi R22/22; 2022 Japan R18; 2023 Qatar Sprint R17; 2024 Las Vegas R22/24 — pattern shift = car competitiveness changed where pressure peaks,8,9,6,23
Nobody,Calendar inflation (race count),2014 19 races; 2018 21; 2020 17 (COVID); 2024-25 24 (record) — more races dilute single-race variance and amplify consistency,Yes,F1 calendar archives,5-race expansion 2014→2024 means random DNF cost in % terms went 5.3% to 4.2% of season — consistency rewarded MORE; Rosberg 5-pt margin 2016 over 21 races would have been ~10 pts at 2014 race count,9,10,7,26
Nobody,Triple-header fatigue / long-haul flyaway clustering,3 races in 3 weekends; year-end flyaway Las Vegas-Qatar-Abu Dhabi compressed; engineers/drivers mistake rate rises measurably,Partial,F1 calendar; team radio analysis,2024 Vegas-Qatar-Abu Dhabi triple — Norris penalty at Qatar (3 pts under yellow) came in middle of triple; 2018 Austin-Mexico-Brazil — Vettel third-leg crash in Brazil ended his streak of contention; 2022 5-races/6-wks Asia-Americas late-season,9,6,7,22
Nobody,Time-zone shift between consecutive rounds,Cumulative jet lag across season correlates with mid-FP1 mistakes; Singapore-Japan-Qatar = 7 TZ shifts in 3 weeks,Partial,Calendar geography; sleep-science literature,2023 Asian triple-header drivers complained of fatigue; Sainz Singapore 2023 upset (only non-RB win of 2023) attributed in part to RB compromised on tired engineers,8,4,6,18
Nobody,Track-type clustering in season halves,2024: 6 of first 8 races permanent circuits; 5 of final 8 included street/twilight — drivers/cars suit certain types so clustering creates artificial form,Yes,Circuit-type tagging; FastF1 lap data,2024 Verstappen dominated H1 (perm circuits favored RB20); McLaren MCL38 turned out street-circuit beast — Norris Singapore Miami wins clustered late; reverse the calendar order and title gap likely closes by Brazil,9,8,8,25
Nobody,Stewards' decision variance,Same incident → different penalty by panel composition; 4 stewards rotate only Garry Connelly is permanent on majority,Partial,FIA stewards documents per race; Race regulatory analyses,2021 Silverstone (Hamilton-Verstappen) 10s penalty; 2021 Monza (same pair) 3-place grid drop; 2024 Mexico (Verstappen-Norris) 2x10s penalties; 2024 Austin T12 no penalty for Verstappen on similar move — stewards lottery over 24 weekends is hidden championship variable,10,5,7,22
Nobody,Power-unit grid-penalty accumulation patterns,Each driver allocated 4 ICE/TC/MGU-H/MGU-K; over = grid penalty; clustering of penalties at Spa/Monza is universal,Yes,FIA grid records; Ergast,2016 Hamilton Malaysia engine failure → forced extra PU late season → Spa back-of-grid → ~15 pts lost; 2021 Verstappen Sochi engine penalty back-of-grid → P2; 2023 Perez Belgium grid penalty cluster — engineering decision *when* to take penalty becomes a chess move,9,9,8,26
Nobody,Red-flag/safety-car free-pit-stop benefit,Red flag = free tire change; SC = ~15-20s pit-loss reduction; distribution not random — driver-team strategic positioning matters,Yes,FastF1 race control messages; lap-by-lap data,2021 Abu Dhabi SC restart; 2024 Brazil red flag while Verstappen P5 → restart → P1 (16 pts swing); 2022 Japan confused half-points red-flag rule cost Leclerc 6 pts at championship-deciding round,10,9,8,27
Nobody,Sprint-vs-main-race delta (same driver same weekend),Driver finishes sprint differently than main race — reveals tire-management vs raw pace personality,Yes,F1 results; FastF1,Verstappen 2024 avg sprint finish P1.7 main race P3.1 — sprints favored him; Norris avg sprint P3.4 main P2.5 — sprints hurt him; net delta over 6 sprints Verstappen +14 pts vs Norris in sprint format alone — ~22% of final 63-pt gap,9,10,8,27
Nobody,Race-engineer continuity year-over-year,Driver-engineer pairings build implicit setup language; a change = 0.1-0.3s/lap qualifying loss for ~5 races,Partial,Team announcements; press archives,Hamilton-Bonnington 2014-25 (12 years every Hamilton title); Verstappen-Lambiase since 2016 (every Verstappen title); Leclerc engineer changes 2019/2021/2024 correlate with form dips; Sainz lost Adami to Hamilton end 2024 — visible 2025 settling-in cost,9,5,7,21
Nobody,Driver-market/contract-year effect,Drivers in contract years either over-perform (audition) or crash psychologically,Partial,Press archives; Reuters/Autosport timelines,Sainz 2024 (announced replacement by Hamilton in February): produced career-best — Australia win Singapore podium; Hamilton 2024 last Mercedes year highly inconsistent — Britain win but multiple Q1 exits; Perez 2024 contract extension Mar then collapsed (P8 from P4 prior); Bottas 2021 zero wins until Turkey luck,9,5,7,21
Nobody,Track-evolution rate × Q3 lap timing,Some circuits gain 1.5s+ from FP1 to Q3 (Sakhir Yas Marina Vegas); driver fastest on first push in Q3 vs last lap differs by track,Yes,FastF1 sector times,Vegas 2023 inaugural — track gained 4s+ in 90 min; Sainz pole won on first runs; Hamilton lost ~5 grid spots by waiting; 2024 Sao Paulo (Norris pole; race washout) — track evolution × red-flag rules cost Norris 25+ pts vs Verstappen single biggest swing of 2024,9,8,7,24
Nobody,Points scored outside top-3 finishes (CORE HYPOTHESIS),Sum of all P4-P10 + sprint P4+ points; champion's non-podium accumulation tested vs runner-up,Yes,Ergast/Jolpica per-race results,2024 Verstappen ~122 pts (28% of total) from non-podium finishes vs Norris ~88; 2016 Rosberg 9% non-podium vs Hamilton lower because Hamilton DNFed/back-of-grid more; 2025 Norris 22% non-podium — variable WORKS in close fights (2016 2021 2024 2025) DEGENERATE in dominant-car years (2014 2019 2020 2022 2023),10,10,9,29
